Name	ScopeWizard	
File	C:\Users\ysmandza\Documents\lcls\lcsl-motion-test-incremental-encoder\data\Scope Project.csv	
Starttime of export	133907157072130000	Friday, May 2, 2025	20:15:07.213
Endtime of export	133907158823530000	Friday, May 2, 2025	20:18:02.353


Name	fPosition	Name	fPosDiff	Name	nRawEncoderDINT	Name	bPositionHolding
SymbolComment	 Used internally and by the IOC to pick a destination for the move	SymbolComment	 Other status information for users of the IOC 
 Position lag difference	SymbolComment	 Raw encoder IO for INT (EL5072 LVDT)	SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	61472	IndexGroup	16448
IndexOffset	159149392	IndexOffset	159150832	IndexOffset	159148748	IndexOffset	159162050
SymbolName	SmartActMCS2.M1.fPosition	SymbolName	SmartActMCS2.M1.fPosDiff	SymbolName	SmartActMCS2.M1.nRawEncoderDINT	SymbolName	SmartActMCS2.fbPiezoDriveDS402Pp.bPositionHolding
NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-20000	0	-100	0	-20100	0	0
10	-20000	10	-102	10	-20102	10	0
20	-20000	20	-102	20	-20102	20	0
30	-20000	30	-100	30	-20100	30	0
40	-20000	40	-101	40	-20101	40	0
50	-20000	50	-102	50	-20102	50	0
60	-20000	60	-99	60	-20099	60	0
70	-20000	70	-102	70	-20102	70	0
80	-20000	80	-102	80	-20102	80	0
90	-20000	90	-98	90	-20098	90	0
100	-20000	100	-99	100	-20099	100	0
110	-20000	110	-99	110	-20099	110	0
120	-20000	120	-100	120	-20100	120	0
130	-20000	130	-101	130	-20101	130	0
140	-20000	140	-100	140	-20100	140	0
150	-20000	150	-100	150	-20100	150	0
160	-20000	160	-100	160	-20100	160	0
170	-20000	170	-101	170	-20101	170	0
180	-20000	180	-99	180	-20099	180	0
190	-20000	190	-101	190	-20101	190	0
200	-20000	200	-99	200	-20099	200	0
210	-20000	210	-99	210	-20099	210	0
220	-20000	220	-101	220	-20101	220	0
230	-20000	230	-100	230	-20100	230	0
240	-20000	240	-101	240	-20101	240	0
250	-20000	250	-98	250	-20098	250	0
260	-20000	260	-99	260	-20099	260	0
270	-20000	270	-98	270	-20098	270	0
280	-20000	280	-100	280	-20100	280	0
290	-20000	290	-102	290	-20102	290	0
300	-20000	300	-101	300	-20101	300	0
310	-20000	310	-101	310	-20101	310	0
320	-20000	320	-100	320	-20100	320	0
330	-20000	330	-100	330	-20100	330	0
340	-20000	340	-101	340	-20101	340	0
350	-20000	350	-100	350	-20100	350	0
360	-20000	360	-101	360	-20101	360	0
370	-20000	370	-100	370	-20100	370	0
380	-20000	380	-99	380	-20099	380	0
390	-20000	390	-100	390	-20100	390	0
400	-20000	400	-102	400	-20102	400	0
410	-20000	410	-101	410	-20101	410	0
420	-20000	420	-102	420	-20102	420	0
430	-20000	430	-100	430	-20100	430	0
440	-20000	440	-100	440	-20100	440	0
450	-20000	450	-102	450	-20102	450	0
460	-20000	460	-101	460	-20101	460	0
470	-20000	470	-100	470	-20100	470	0
480	-20000	480	-101	480	-20101	480	0
490	-20000	490	-101	490	-20101	490	0
500	-20000	500	-100	500	-20100	500	0
