Name	ScopeWizard	
File	C:\Users\ysmandza\Documents\lcls\lcsl-motion-test-incremental-encoder\data\Scope Project5.csv	
Starttime of export	133907135116130000	Friday, May 2, 2025	19:38:31.613
Endtime of export	133907135912030000	Friday, May 2, 2025	19:39:51.203


Name	fPosition	Name	fPosDiff	Name	nRawEncoderDINT	Name	bPositionHolding
SymbolComment	 Used internally and by the IOC to pick a destination for the move	SymbolComment	 Other status information for users of the IOC 
 Position lag difference	SymbolComment	 Raw encoder IO for INT (EL5072 LVDT)	SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	61472	IndexGroup	16448
IndexOffset	159149392	IndexOffset	159150832	IndexOffset	159148748	IndexOffset	159162050
SymbolName	SmartActMCS2.M1.fPosition	SymbolName	SmartActMCS2.M1.fPosDiff	SymbolName	SmartActMCS2.M1.nRawEncoderDINT	SymbolName	SmartActMCS2.fbPiezoDriveDS402Pp.bPositionHolding
NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

0	5000	0	108	0	4892	0	0
10	5000	10	109	10	4891	10	0
20	5000	20	110	20	4890	20	0
30	5000	30	108	30	4892	30	0
40	5000	40	109	40	4891	40	0
50	5000	50	108	50	4892	50	0
60	5000	60	107	60	4893	60	0
70	5000	70	108	70	4892	70	0
80	5000	80	111	80	4889	80	0
90	5000	90	109	90	4891	90	0
100	5000	100	109	100	4891	100	0
110	5000	110	107	110	4893	110	0
120	5000	120	110	120	4890	120	0
130	5000	130	110	130	4890	130	0
140	5000	140	109	140	4891	140	0
150	5000	150	108	150	4892	150	0
160	5000	160	109	160	4891	160	0
170	5000	170	109	170	4891	170	0
180	5000	180	108	180	4892	180	0
190	5000	190	109	190	4891	190	0
200	5000	200	107	200	4893	200	0
210	5000	210	107	210	4893	210	0
220	5000	220	108	220	4892	220	0
230	5000	230	108	230	4892	230	0
240	5000	240	107	240	4893	240	0
250	5000	250	107	250	4893	250	0
260	5000	260	109	260	4891	260	0
270	5000	270	106	270	4894	270	0
280	5000	280	110	280	4890	280	0
290	5000	290	107	290	4893	290	0
300	5000	300	108	300	4892	300	0
310	5000	310	110	310	4890	310	0
320	5000	320	107	320	4893	320	0
330	5000	330	109	330	4891	330	0
340	5000	340	107	340	4893	340	0
350	5000	350	107	350	4893	350	0
360	5000	360	106	360	4894	360	0
370	5000	370	108	370	4892	370	0
380	5000	380	107	380	4893	380	0
390	5000	390	110	390	4890	390	0
400	5000	400	106	400	4894	400	0
410	5000	410	108	410	4892	410	0
420	5000	420	106	420	4894	420	0
430	5000	430	109	430	4891	430	0
440	5000	440	108	440	4892	440	0
450	5000	450	108	450	4892	450	0
460	5000	460	109	460	4891	460	0
470	5000	470	109	470	4891	470	0
480	5000	480	107	480	4893	480	0
490	5000	490	107	490	4893	490	0
500	5000	500	108	500	4892	500	0
510	5000	510	108	510	4892	510	0
520	5000	520	108	520	4892	520	0
530	5000	530	108	530	4892	530	0
540	5000	540	109	540	4891	540	0
550	5000	550	107	550	4893	550	0
560	5000	560	110	560	4890	560	0
570	5000	570	109	570	4891	570	0
580	5000	580	107	580	4893	580	0
590	5000	590	108	590	4892	590	0
